word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
Erdbeere,die,noun,клубника,полуниця,Die Erdbeere schmeckt süß.,Клубника сладкая на вкус.,Полуниця солодка на смак.,food
Es ist,-,phrase,,,Es ist.,,,
Es ist Viertel nach,-,phrase,,,Es ist Viertel nach.,,,
Es ist halb (acht),-,phrase,,,Es ist halb (acht).,,,
Es ist kalt,-,phrase,,,Es ist kalt.,,,
Es ist warm,-,phrase,,,Es ist warm.,,,
Es ist windig,-,phrase,,,Es ist windig.,,,
Es regnet,-,phrase,,,Es regnet.,,,
Es schneit,-,phrase,,,Es schneit.,,,
Es tut mir leid,-,phrase,,,Es tut mir leid.,,,
Euro,der,noun,евро,євро,Das kostet zehn Euro.,Это стоит десять евро.,Це коштує десять євро.,city
Europakarte,die,noun,карта Европы,карта Європи,Die Europakarte hängt im Klassenraum.,Карта Европы висит в классе.,Карту Європи повісили в класі.,study
Fahrplan,der,noun,расписание,розклад,Der Fahrplan hängt am Bahnhof.,Расписание висит на вокзале.,Розклад висить на вокзалі.,transport
Fahrrad,das,noun,велосипед,велосипед,Er fährt jeden Tag mit dem Fahrrad.,Он каждый день ездит на велосипеде.,Він щодня їздить на велосипеді.,transport
Familienname,der,noun,фамилия,прізвище,Wie ist Ihr Familienname.,Как ваша фамилия.,Яке у вас прізвище.,family
Februar,der,noun,февраль,лютий,Der Februar hat 28 Tage.,В феврале 28 дней.,У лютому 28 днів.,time
Fenster,das,noun,окно,вікно,Bitte mach das Fenster zu.,"Пожалуйста, закрой окно.","Будь ласка, закрий вікно.",home
Fest,das,noun,праздник,свято,Am Wochenende ist ein großes Fest.,В выходные большой праздник.,На вихідних велике свято.,city
Film,der,noun,фильм,фільм,Wir sehen heute einen Film.,Сегодня смотрим фильм.,Сьогодні дивимося фільм.,other
Flasche,die,noun,бутылка,пляшка,Die Flasche ist fast leer.,Бутылка почти пустая.,Пляшка майже порожня.,other
Fleisch,das,noun,мясо,м’ясо,Er isst kein Fleisch.,Он не ест мясо.,Він не їсть м’ясо.,food
Formular,das,noun,бланк,бланк,Füllen Sie bitte das Formular aus.,"Пожалуйста, заполните бланк.","Будь ласка, заповніть бланк.",study
Franken,der,noun,франк,франк,Das kostet zehn Franken.,Это стоит десять франк.,Це коштує десять франк.,other
Frau,die,noun,женщина,жінка,Die Frau an der Kasse lächelt.,Женщина на кассе улыбается.,Жінка на касі усміхається.,other
Freitag,der,noun,пятница,п’ятниця,Am Freitag habe ich frei.,В пятницу у меня выходной.,У п’ятницю в мене вихідний.,time
Freund,der,noun,друг,друг,Mein Freund wohnt in München.,Мой друг живёт в Мюнхене.,Мій друг живе в Мюнхені.,family
Freundin,die,noun,подруга,подруга,Meine Freundin arbeitet hier.,Моя подруга работает здесь.,Моя подруга працює тут.,family
Freut mich!,-,phrase,,,Freut mich!.,,,
Frühling,-,adjective,,,Es ist sehr Frühling.,Это очень Frühling.,Це дуже Frühling.,
Frühstück,das,noun,завтрак,сніданок,Wir machen am Sonntag ein langes Frühstück.,В воскресенье у нас долгий завтрак.,У неділю в нас довгий сніданок.,food
Gebäude,das,noun,здание,будівля,Das neue Gebäude ist fast fertig.,Новое здание почти готово.,Нова будівля майже готова.,city|home
Gemüse,das,noun,овощи,овочі,Ich kaufe frisches Gemüse auf dem Markt.,Я покупаю свежие овощи на рынке.,Купую свіжі овочі на ринку.,food
"Geradeaus, dann links",-,phrase,,,"Geradeaus, dann links.",,,
Gern geschehen,-,phrase,не за что,нема за що,"Gern geschehen, kein Problem.","Не за что, без проблем.","Нема за що, без проблем.",
Geschenk,das,noun,подарок,подарунок,Das Geschenk ist für meine Mutter.,Подарок для моей мамы.,Подарунок для моєї мами.,other
Geschäft,das,noun,магазин,крамниця,Das Geschäft macht um neun auf.,Магазин открывается в девять.,Крамниця відкривається о дев’ятій.,city
Gesicht,das,noun,лицо,обличчя,Er wäscht sich das Gesicht.,Он умывает лицо.,Він умиває обличчя.,health
Gesundheit,-,phrase,будь здоров,будь здоров,Gesundheit!,Будь здоров!,Будь здоров!,health
Gesundheit!,-,adjective,,,Es ist sehr Gesundheit!.,Это очень Gesundheit!.,Це дуже Gesundheit!.,
Getränk,das,noun,напиток,напій,Ein kaltes Getränk wäre jetzt gut.,Хорошо бы сейчас холодный напиток.,Зараз добре було б холодний напій.,food
Glas,das,noun,стакан,склянка,"Ein Glas Wasser, bitte.","Стакан воды, пожалуйста.","Склянку води, будь ласка.",other
Grad,das,noun,градус,градус,Das kostet zehn Grad.,Это стоит десять градус.,Це коштує десять градус.,other
Gramm,das,noun,грамм,грам,Ich brauche zweihundert Gramm Käse.,Мне нужно двести граммов сыра.,Мені потрібно двісті грамів сиру.,food
Großmutter,die,noun,бабушка,бабуся,Meine Großmutter backt gerne Kuchen.,Моя бабушка любит печь пироги.,Моя бабуся любить пекти пироги.,family
Großvater,der,noun,дедушка,дідусь,Mein Großvater erzählt oft Geschichten.,Мой дедушка часто рассказывает истории.,Мій дідусь часто розповідає історії.,family
Grüß Gott,-,phrase,,,Grüß Gott.,,,
"Gut, danke",-,phrase,,,"Gut, danke.",,,
Gute Besserung,-,phrase,скорейшего выздоровления,швидкого одужання,Gute Besserung und viel Ruhe.,Скорейшего выздоровления и больше отдыха.,Швидкого одужання і більше відпочинку.,health
Gute Nacht,-,phrase,спокойной ночи,на добраніч,Gute Nacht und schlaf gut.,Спокойной ночи и сладких снов.,На добраніч і солодких снів.,time|health
Guten Abend,-,phrase,добрый вечер,доброго вечора,"Guten Abend, meine Damen und Herren.","Добрый вечер, дамы и господа.","Доброго вечора, пані та панове.",time
Guten Morgen,-,phrase,доброе утро,доброго ранку,"Guten Morgen, Frau Keller.","Доброе утро, госпожа Келлер.","Доброго ранку, пані Келлер.",time
Guten Tag,-,phrase,добрый день,доброго дня,"Guten Tag, kann ich helfen?","Добрый день, могу помочь?","Доброго дня, можу допомогти?",
Haar,das,noun,волос,волосся,Mein Haar ist heute zu lang.,Сегодня у меня слишком длинные волосы.,Сьогодні в мене занадто довге волосся.,health
Hafen,der,noun,порт,порт,Der Hafen ist nicht weit von hier.,Порт недалеко отсюда.,Порт недалеко звідси.,city|transport
Hallo,-,phrase,привет,привіт,"Hallo, wie geht es dir?","Привет, как ты?","Привіт, як ти?",
"Hallo, hier spricht",-,phrase,,,"Hallo, hier spricht.",,,
Handy,das,noun,мобильный телефон,мобільний телефон,Mein Handy liegt im Wohnzimmer.,Мой телефон лежит в гостиной.,Мій телефон лежить у вітальні.,other
Haus,das,noun,дом,дім,Ihr Haus hat einen kleinen Garten.,Их дом имеет маленький сад.,Їхній дім має маленький сад.,home
Herbst,-,adjective,,,Es ist sehr Herbst.,Это очень Herbst.,Це дуже Herbst.,
Herr,der,noun,господин,пан,Herr Becker wartet schon.,Господин Беккер уже ждёт.,Пан Беккер уже чекає.,other
"Heute, morgen, übermorgen",-,phrase,,,"Heute, morgen, übermorgen.",,,
Hier bitte,-,phrase,,,Hier bitte.,,,
Hilfe,-,phrase,помогите,допоможіть,"Hilfe, ich habe mich verletzt.","Помогите, я поранился.","Допоможіть, я поранився.",health
Hund,der,noun,собака,собака,Der Hund schläft unter dem Tisch.,Собака спит под столом.,Собака спить під столом.,other
Ich arbeite als ...,-,phrase,я работаю ...,я працюю ...,Ich arbeite als Verkäufer.,Я работаю продавцом.,Я працюю продавцем.,study|city
Ich bin Schüler,-,phrase,,,Ich bin Schüler.,,,
Ich bin glücklich,-,phrase,,,Ich bin glücklich.,,,
Ich bin krank,-,phrase,,,Ich bin krank.,,,
Ich bin müde,-,phrase,,,Ich bin müde.,,,
Ich denke,-,phrase,,,Ich denke.,,,
Ich finde,-,phrase,,,Ich finde.,,,
Ich glaube,-,phrase,,,Ich glaube.,,,
Ich habe eine Frage,-,phrase,у меня есть вопрос,в мене є питання,"Entschuldigung, ich habe eine Frage.","Извините, у меня есть вопрос.","Вибачте, в мене є питання.",
Ich heiße ...,-,phrase,меня зовут ...,мене звати ...,Ich heiße Anna Müller.,Меня зовут Анна Мюллер.,Мене звати Анна Мюллер.,
Ich hätte gern,-,phrase,,,Ich hätte gern.,,,
Ich komme aus ...,-,phrase,я из ...,я з ...,Ich komme aus der Ukraine.,Я из Украины.,Я з України.,
Ich mag,-,phrase,,,Ich mag.,,,
Ich möchte gern,-,phrase,,,Ich möchte gern.,,,
Ich möchte mit,-,phrase,,,Ich möchte mit.,,,
Ich spreche nur wenig Deutsch,-,phrase,я говорю чуть-чуть по‑немецки,я трохи говорю німецькою,Ich spreche nur wenig Deutsch.,Я говорю немного по‑немецки.,Я трохи говорю німецькою.,
Ich verstehe nicht,-,phrase,я не понимаю,я не розумію,"Entschuldigung, ich verstehe nicht.","Извините, я не понимаю.","Вибачте, я не розумію.",
Ich weiß nicht,-,phrase,,,Ich weiß nicht.,,,
Ich wohne in ...,-,phrase,я живу в ...,я живу в ...,Ich wohne in Berlin.,Я живу в Берлине.,Я живу в Берліні.,home|city
Ja,-,adjective,,,Es ist sehr Ja.,Это очень Ja.,Це дуже Ja.,
Jahr – die Jahre,-,phrase,,,Jahr – die Jahre.,,,
Januar,der,noun,январь,січень,Der Januar ist oft sehr kalt.,Январь часто очень холодный.,Січень часто дуже холодний.,time
Juli,der,noun,июль,липень,Im Juli fahren wir ans Meer.,В июле мы едем к морю.,У липні ми їдемо до моря.,time
Junge,der,noun,мальчик,хлопчик,Der Junge spielt im Hof Fußball.,Мальчик играет во дворе в футбол.,Хлопчик грає у дворі у футбол.,family
Juni,der,noun,июнь,червень,Der Kurs beginnt im Juni.,Курс начинается в июне.,Курс починається в червні.,time
Kannst du mir helfen?,-,phrase,,,Kannst du mir helfen?.,,,
Karte,die,noun,карта,карта,Haben Sie eine Stadtkarte für mich?,У вас есть карта города для меня?,Маєте міську карту для мене?,city
Kartoffel,die,noun,картофель,картопля,Ich kaufe heute Kartoffeln für die Suppe.,Я покупаю сегодня картошку для супа.,Купую сьогодні картоплю для супу.,food
Katze,die,noun,кошка,кіт/кицька,Unsere Katze schläft auf dem Sofa.,Наша кошка спит на диване.,Наша кицька спить на дивані.,
Kein Problem,-,phrase,без проблем,без проблем,"Kein Problem, ich mache das.","Без проблем, я сделаю это.","Без проблем, я це зроблю.",
Keller,der,noun,подвал,підвал,Die Getränke stehen im Keller.,Напитки стоят в подвале.,Напої стоять у підвалі.,home
Kilogramm,das,noun,килограмм,кілограм,Die Tasche wiegt zwei Kilogramm.,Сумка весит два килограмма.,Сумка важить два кілограми.,other
Kilometer,der,noun,километр,кілометр,Es sind fünf Kilometer bis dort.,Туда пять километров.,Туди п’ять кілометрів.,transport
Kind,das,noun,ребёнок,дитина,Das Kind malt ein Bild.,Ребёнок рисует картинку.,Дитина малює картинку.,family
Kirche,die,noun,церковь,церква,Die Kirche ist im Zentrum der Stadt.,Церковь находится в центре города.,Церква в центрі міста.,city
Klasse,die,noun,класс,клас,Unsere Klasse hat heute Sport.,У нашего класса сегодня спорт.,У нашого класу сьогодні фізкультура.,study
Kleid,das,noun,платье,сукня,Das Kleid passt dir sehr gut.,Платье тебе очень подходит.,Сукня тобі дуже пасує.,
Kleidung,die,noun,одежда,одяг,Ich brauche warme Kleidung für den Winter.,Мне нужна тёплая одежда на зиму.,Мені потрібен теплий одяг на зиму.,
Kuchen,der,noun,пирог,пиріг,Der Kuchen schmeckt ausgezeichnet.,Пирог на вкус отличный.,Пиріг смакує чудово.,food
Kultur,die,noun,культура,культура,Die Stadt hat eine reiche Kultur.,В городе богатая культура.,Місто має багату культуру.,city
Käse,der,noun,сыр,сир,Magst du Käse auf dem Brot?,Ты любишь сыр на хлебе?,Ти любиш сир на хлібі?,food
Können Sie bitte wiederholen?,-,phrase,,,Können Sie bitte wiederholen?.,,,
Küche,die,noun,кухня,кухня,"Die Küche ist klein, aber praktisch.","Кухня маленькая, но удобная.","Кухня маленька, але зручна.",home
Lampe,die,noun,лампа,лампа,Die Lampe über dem Tisch ist neu.,Лампа над столом новая.,Лампа над столом нова.,home
Land,das,noun,страна,країна,Deutschland ist ein schönes Land.,Германия — красивая страна.,Німеччина — гарна країна.,
"Langsamer, bitte",-,phrase,"помедленнее, пожалуйста","повільніше, будь ласка","Sprechen Sie etwas langsamer, bitte.","Говорите немного медленнее, пожалуйста.","Говоріть трохи повільніше, будь ласка.",
Lebensmittel,das,noun,продукты,продукти,Wir kaufen Lebensmittel im Supermarkt.,Мы покупаем продукты в супермаркете.,Купуємо продукти в супермаркеті.,food
Lehrer,der,noun,учитель,вчитель,Unser Lehrer ist geduldig.,Наш учитель терпелив.,Наш вчитель терплячий.,study
Lehrer,-,phrase,,,Lehrer.,,,
Lehrerin,die,noun,учительница,вчителька,Die Lehrerin erklärt alles sehr klar.,Учительница объясняет всё очень ясно.,Вчителька пояснює все дуже чітко.,study
Leute,die,noun,люди,люди,Viele Leute warten an der Haltestelle.,Много людей ждут на остановке.,Багато людей чекають на зупинці.,
Liter,der,noun,литр,літр,Ich kaufe einen Liter Milch.,Я куплю литр молока.,Я куплю літр молока.,food
Mahlzeit,die,noun,приём пищи,прийом їжі,Gute Mahlzeit! Wir essen jetzt.,Приятного аппетита! Мы сейчас едим.,Смачного! Ми зараз їмо.,food
Mai,der,noun,май,травень,Im Mai blühen viele Bäume.,В мае цветёт много деревьев.,У травні цвітуть багато дерев.,time
Mama,die,noun,мама,мама,Meine Mama arbeitet im Krankenhaus.,Моя мама работает в больнице.,Моя мама працює в лікарні.,family
Mann,der,noun,мужчина,чоловік,Der Mann hilft der Nachbarin.,Мужчина помогает соседке.,Чоловік допомагає сусідці.,family
Markt,der,noun,рынок,ринок,Am Samstag ist Markt in der Stadt.,В субботу в городе рынок.,У суботу в місті ярмарок.,city
Messer,das,noun,нож,ніж,Das Messer ist sehr scharf.,Нож очень острый.,Ніж дуже гострий.,home
Meter,der,noun,метр,метр,Der Tisch ist zwei Meter lang.,Стол два метра длиной.,Стіл два метри завдовжки.,home
Milch,die,noun,молоко,молоко,Ich trinke morgens Milch im Kaffee.,Я пью утром молоко в кофе.,П’ю зранку молоко в каві.,food
Minute,die,noun,минута,хвилина,Warte bitte eine Minute.,"Подожди, пожалуйста, минуту.","Зачекай, будь ласка, хвилину.",time
Mir geht es gut,-,phrase,у меня всё хорошо,в мене все добре,"Danke, mir geht es gut.","Спасибо, у меня всё хорошо.","Дякую, в мене все добре.",
Mittag,der,noun,полдень,опівдень,Wir essen gegen Mittag zu Hause.,Мы едим около полудня дома.,Їмо вдома близько опівдня.,time
Mittwoch,der,noun,среда,середа,Am Mittwoch habe ich Sport.,В среду у меня спорт.,У середу в мене спорт.,time
Monat – die Monate,-,phrase,,,Monat – die Monate.,,,
Montag,der,noun,понедельник,понеділок,Am Montag habe ich einen Termin.,В понедельник у меня встреча.,У понеділок у мене зустріч.,time
Mutter,die,noun,мать,мати,Meine Mutter ruft mich später an.,Моя мама позже мне позвонит.,Моя мати зателефонує мені пізніше.,family
Mädchen,das,noun,девочка,дівчинка,Das Mädchen liest ein Buch.,Девочка читает книгу.,Дівчинка читає книжку.,family
März,der,noun,март,березень,Im März wird es langsam warm.,В марте становится постепенно тепло.,У березні стає потроху тепло.,time
Nacht,die,noun,ночь,ніч,In der Nacht ist es ruhig.,Ночью тихо.,Уночі тихо.,time
Name,der,noun,имя,ім’я,Wie ist dein Name?,Как твоё имя?,Як твоє ім’я?,
Nase,die,noun,нос,ніс,Meine Nase ist ein bisschen kalt.,Мой нос немного замёрз.,Мій ніс трохи змерз.,health
Natürlich,-,adjective,,,Es ist sehr Natürlich.,Это очень Natürlich.,Це дуже Natürlich.,
Nein,-,adjective,,,Es ist sehr Nein.,Это очень Nein.,Це дуже Nein.,
"Noch einmal, bitte",-,phrase,"ещё раз, пожалуйста","ще раз, будь ласка","Können Sie das noch einmal, bitte?","Можете это ещё раз, пожалуйста?","Можете це ще раз, будь ласка?",
Norden,-,adjective,,,Es ist sehr Norden.,Это очень Norden.,Це дуже Norden.,
November,der,noun,ноябрь,листопад,Im November ist es oft grau.,В ноябре часто серо.,У листопаді часто сіро.,time|weather
Nummer,die,noun,номер,номер,Wie ist deine Nummer?,Какой у тебя номер?,Який у тебе номер?,
Oktober,der,noun,октябрь,жовтень,Im Oktober fallen die Blätter.,В октябре опадают листья.,У жовтні опадає листя.,time
Onkel,der,noun,дядя,дядько,Mein Onkel wohnt in Wien.,Мой дядя живёт в Вене.,Мій дядько живе у Відні.,family
Osten,-,adjective,,,Es ist sehr Osten.,Это очень Osten.,Це дуже Osten.,
Papier,das,noun,бумага,папір,Hast du ein Blatt Papier?,У тебя есть лист бумаги?,Маєш аркуш паперу?,study
Park,der,noun,парк,парк,Wir gehen am Nachmittag in den Park.,Днём идём в парк.,Після обіду йдемо до парку.,city
Pass,der,noun,паспорт,паспорт,Vergiss deinen Pass nicht!,Не забудь свой паспорт!,Не забудь свій паспорт!,
Pfund,das,noun,фунт,фунт,Das kostet zehn Pfund.,Это стоит десять фунт.,Це коштує десять фунт.,other
Platz,der,noun,место,місце,Ist hier noch ein Platz frei?,Здесь ещё есть свободное место?,Тут ще є вільне місце?,city
Post,die,noun,почта,пошта,Die Post ist heute geschlossen.,Почта сегодня закрыта.,Пошта сьогодні зачинена.,city
Poster,das,noun,плакат,плакат,Das Poster hängt über dem Bett.,Плакат висит над кроватью.,Плакат висить над ліжком.,
Postleitzahl,die,noun,почтовый индекс,поштовий індекс,Wie ist Ihre Postleitzahl?,Какой у вас почтовый индекс?,Який у вас поштовий індекс?,city
Problem,das,noun,проблема,проблема,"Kein Problem, ich kümmere mich darum.","Без проблем, я займусь этим.","Без проблем, я цим займуся.",
Radio,das,noun,радио,радіо,Ich höre morgens Radio im Auto.,По утрам слушаю радио в машине.,Вранці слухаю радіо в машині.,
Regen,der,noun,дождь,дощ,Morgen gibt es viel Regen.,Завтра будет много дождя.,Завтра буде багато дощу.,weather
Reis,der,noun,рис,рис,Ich koche heute Reis mit Gemüse.,Сегодня я готовлю рис с овощами.,Сьогодні готую рис із овочами.,food
Restaurant,das,noun,ресторан,ресторан,Das Restaurant ist immer voll.,Ресторан всегда полон.,Ресторан завжди повний.,city|food
Saft,der,noun,сок,сік,Der Apfelsaft schmeckt frisch.,Яблочный сок на вкус свежий.,Яблучний сік має свіжий смак.,food
Salat,der,noun,салат,салат,Zum Abendessen gibt es Salat.,На ужин будет салат.,На вечерю буде салат.,food
Samstag,der,noun,суббота,субота,Am Samstag schlafen wir länger.,В субботу мы спим дольше.,У суботу ми спимо довше.,time
Satz,der,noun,предложение,речення,Der Satz ist grammatisch richtig.,Предложение грамматически правильное.,Речення граматично правильне.,study
Schade!,-,adjective,,,Es ist sehr Schade!.,Это очень Schade!.,Це дуже Schade!.,
Schnee,der,noun,снег,сніг,Morgen fällt viel Schnee.,Завтра выпадет много снега.,Завтра випаде багато снігу.,weather
Schule,die,noun,школа,школа,Die Schule beginnt um acht Uhr.,Школа начинается в восемь.,Школа починається о восьмій.,study
Schwester,die,noun,сестра,сестра,Meine Schwester wohnt in Hamburg.,Моя сестра живёт в Гамбурге.,Моя сестра живе в Гамбурзі.,family
Schönen Tag noch,-,phrase,,,Schönen Tag noch.,,,
Schüler,der,noun,ученик,учень,Jeder Schüler hat ein Heft.,У каждого ученика есть тетрадь.,Кожен учень має зошит.,study
Schülerin,die,noun,ученица,учениця,Die neue Schülerin ist sehr fleißig.,Новая ученица очень старательная.,Нова учениця дуже старанна.,study
See,der,noun,озеро,озеро,Der See ist heute ganz ruhig.,Озеро сегодня совсем спокойное.,Озеро сьогодні зовсім спокійне.,
Seit wann,-,phrase,,,Seit wann.,,,
Seite,die,noun,страница,сторінка,"Öffne die Seite zwölf, bitte.","Открой, пожалуйста, страницу двенадцать.","Відкрий, будь ласка, сторінку дванадцять.",study
September,der,noun,сентябрь,вересень,Im September beginnt die Schule.,В сентябре начинается школа.,У вересні починається школа.,time|study
