word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
"Ich glaube",-,phrase,Я верю,Я вірю,"Ich glaube, es regnet.","Я думаю, будет дождь.","Я думаю, буде дощ.",phrases
"Ich möchte mit",-,phrase,Я хотел бы с,Я хотів би з,"Ich möchte mit dir sprechen.","Я хотел бы поговорить с тобой.","Я хотів би поговорити з тобою.",phrases
"Ich weiß nicht",-,phrase,Я не знаю,Я не знаю,"Ich weiß nicht, wo er ist.","Я не знаю, где он.","Я не знаю, де він.",phrases
Ja,-,adverb,Да,Так,"Ja, ich komme.","Да, я приду.","Так, я прийду.",phrases
Natürlich,-,adverb,"Конечно, естественно","Звичайно, природно","Natürlich komme ich!","Конечно, я приду!","Звичайно, я прийду!",phrases
Nein,-,adverb,"Нет, не","Ні, не","Nein, ich kann nicht.","Нет, я не могу.","Ні, я не можу.",phrases
Schade!,-,phrase,Жаль!,Шкода!,"Schade, dass du nicht kommst!","Жаль, что ты не придёшь!","Шкода, що ти не прийдеш!",phrases
"Seit wann",-,phrase,С каких пор,Відколи,"Seit wann wohnst du hier?","С каких пор ты здесь живёшь?","Відколи ти тут живеш?",time
Servus,-,phrase,"Привет (Австрия, Бавария)","Привіт (Австрія, Баварія)","Servus! Wie geht's?","Привет! Как дела?","Привіт! Як справи?",phrases
"Sonne scheint",-,phrase,"Солнце светит","Сонце світить","Die Sonne scheint heute.","Сегодня светит солнце.","Сьогодні світить сонце.",weather
Super!,-,adjective,Супер!,Супер!,"Das ist super!","Это супер!","Це супер!",phrases
Toll!,-,adjective,Классно!,Класно!,"Toll! Das gefällt mir.","Классно! Мне нравится.","Класно! Мені подобається.",phrases
"Um wie viel Uhr",-,phrase,В котором часу,О котрій годині,"Um wie viel Uhr kommst du?","В котором часу ты придёшь?","О котрій годині ти прийдеш?",time
"Wann trifft ihr euch?",-,phrase,Когда вы встречаетесь?,Коли ви зустрічаєтесь?,"Wann trifft ihr euch?","Когда вы встречаетесь?","Коли ви зустрічаєтесь?",time
"Wie ist das Wetter?",-,phrase,Какая погода?,Яка погода?,"Wie ist das Wetter heute?","Какая сегодня погода?","Яка сьогодні погода?",weather
"Wie komme ich zum Bahnhof?",-,phrase,Как мне пройти к вокзалу?,Як мені пройти до вокзалу?,"Entschuldigung, wie komme ich zum Bahnhof?","Извините, как мне пройти к вокзалу?","Вибачте, як мені пройти до вокзалу?",city
"Wie lange",-,phrase,Как долго,Як довго,"Wie lange dauert das?","Как долго это длится?","Як довго це триває?",time
"Wo ist",-,phrase,Где находится,Де знаходиться,"Wo ist die Toilette?","Где находится туалет?","Де знаходиться туалет?",phrases
"Zum Mitnehmen oder hier?",-,phrase,С собой или здесь?,З собою чи тут?,"Zum Mitnehmen oder hier?","С собой или здесь?","З собою чи тут?",food
abfahren,-,verb,отъезжать,від'їжджати,"Der Zug fährt ab.","Поезд отправляется.","Потяг відправляється.",transport
abholen,-,verb,забирать,забирати,"Ich hole dich ab.","Я тебя заберу.","Я тебе заберу.",phrases
achtzehn,-,number,восемнадцать,вісімнадцять,"Ich bin achtzehn Jahre alt.","Мне восемнадцать лет.","Мені вісімнадцять років.",numbers
achtzig,-,number,восемьдесят,вісімдесят,"Meine Oma ist achtzig.","Моей бабушке восемьдесят.","Моїй бабусі вісімдесят.",numbers
ansehen,-,verb,смотреть,дивитися,"Wir sehen einen Film an.","Мы смотрим фильм.","Ми дивимося фільм.",phrases
aufhören,-,verb,прекращать,припиняти,"Hör auf!","Прекрати!","Припини!",phrases
aufmachen,-,verb,открывать,відкривати,"Mach das Fenster auf!","Открой окно!","Відкрий вікно!",home
ausfüllen,-,verb,заполнять,заповнювати,"Füll das Formular aus.","Заполни форму.","Заповни форму.",study
ausgehen,-,verb,выходить,виходити,"Wir gehen heute aus.","Мы сегодня идём гулять.","Ми сьогодні йдемо гуляти.",phrases
ausschalten,-,verb,выключать,вимикати,"Schalt das Licht aus!","Выключи свет!","Вимкни світло!",home
aussteigen,-,verb,выходить (из транспорта),виходити (з транспорту),"Ich steige hier aus.","Я здесь выхожу.","Я тут виходжу.",transport
bauen,-,verb,строить,будувати,"Wir bauen ein Haus.","Мы строим дом.","Ми будуємо дім.",home
bedeuten,-,verb,означать,означати,"Was bedeutet das?","Что это означает?","Що це означає?",study
beschreiben,-,verb,описывать,описувати,"Beschreib mir das Bild.","Опиши мне картину.","Опиши мені картину.",study
danken,-,verb,благодарить,дякувати,"Ich danke dir.","Я тебе благодарю.","Я тобі дякую.",phrases
dreizehn,-,number,тринадцать,тринадцять,"Ich bin dreizehn.","Мне тринадцать.","Мені тринадцять.",numbers
dreißig,-,number,тридцать,тридцять,"Er ist dreißig Jahre alt.","Ему тридцать лет.","Йому тридцять років.",numbers
dritte,-,adjective,третий,третій,"Das ist das dritte Mal.","Это третий раз.","Це третій раз.",numbers
einkaufen,-,verb,"делать покупки","робити покупки","Ich gehe einkaufen.","Я иду за покупками.","Я йду за покупками.",city
einschlafen,-,verb,засыпать,засинати,"Ich kann nicht einschlafen.","Я не могу уснуть.","Я не можу заснути.",home
einundzwanzig,-,number,двадцать один,двадцять один,"Ich bin einundzwanzig.","Мне двадцать один.","Мені двадцять один.",numbers
elf,-,number,одиннадцать,одинадцять,"Es ist elf Uhr.","Сейчас одиннадцать часов.","Зараз одинадцята година.",numbers
empfehlen,-,verb,рекомендовать,рекомендувати,"Ich empfehle dieses Restaurant.","Я рекомендую этот ресторан.","Я рекомендую цей ресторан.",food
enden,-,verb,заканчиваться,закінчуватися,"Der Film endet um 22 Uhr.","Фильм заканчивается в 22:00.","Фільм закінчується о 22:00.",time
erste,-,adjective,первый,перший,"Das ist mein erstes Mal.","Это мой первый раз.","Це мій перший раз.",numbers
fünfzehn,-,number,пятнадцать,п'ятнадцять,"Ich bin fünfzehn.","Мне пятнадцать.","Мені п'ятнадцять.",numbers
fünfzig,-,number,пятьдесят,п'ятдесят,"Mein Vater ist fünfzig.","Моему отцу пятьдесят.","Моєму батькові п'ятдесят.",numbers
mitspielen,-,verb,"играть вместе","грати разом","Spielst du mit?","Ты будешь играть?","Ти будеш грати?",phrases
neunzehn,-,number,девятнадцать,дев'ятнадцять,"Ich bin neunzehn.","Мне девятнадцать.","Мені дев'ятнадцять.",numbers
neunzig,-,number,девяносто,дев'яносто,"Sie ist neunzig Jahre alt.","Ей девяносто лет.","Їй дев'яносто років.",numbers
ordnen,-,verb,упорядочивать,впорядковувати,"Ordne die Wörter!","Упорядочь слова!","Впорядкуй слова!",study
packen,-,verb,"упаковывать, паковать","пакувати","Ich packe meinen Koffer.","Я пакую чемодан.","Я пакую валізу.",travel
passen,-,verb,"подходить, годиться","підходити","Das Kleid passt mir.","Платье мне подходит.","Сукня мені підходить.",clothes
rechts,-,adverb,справа,праворуч,"Das Haus ist rechts.","Дом справа.","Будинок праворуч.",city
sammeln,-,verb,собирать,збирати,"Ich sammle Briefmarken.","Я коллекционирую марки.","Я колекціоную марки.",hobby
sechzehn,-,number,шестнадцать,шістнадцять,"Ich bin sechzehn.","Мне шестнадцать.","Мені шістнадцять.",numbers
sechzig,-,number,шестьдесят,шістдесят,"Er ist sechzig.","Ему шестьдесят.","Йому шістдесят.",numbers
siebzehn,-,number,семнадцать,сімнадцять,"Ich bin siebzehn.","Мне семнадцать.","Мені сімнадцять.",numbers
siebzig,-,number,семьдесят,сімдесят,"Meine Oma ist siebzig.","Моей бабушке семьдесят.","Моїй бабусі сімдесят.",numbers
stimmen,-,verb,"быть правильным","бути правильним","Das stimmt!","Правильно!","Правильно!",phrases
super,-,adjective,супер,супер,"Das ist super!","Это супер!","Це супер!",phrases
tausend,-,number,тысяча,тисяча,"Ich habe tausend Euro.","У меня тысяча евро.","У мене тисяча євро.",numbers
toll,-,adjective,классный,класний,"Das ist toll!","Это классно!","Це класно!",phrases
verheiratet,-,adjective,женат/замужем,"одружений/заміжня","Ich bin verheiratet.","Я женат/замужем.","Я одружений/заміжня.",family
viel,-,adjective,много,багато,"Ich habe viel Zeit.","У меня много времени.","У мене багато часу.",phrases
vierte,-,adjective,четвёртый,четвертий,"Das ist das vierte Haus.","Это четвёртый дом.","Це четвертий дім.",numbers
vierzehn,-,number,четырнадцать,чотирнадцять,"Ich bin vierzehn.","Мне четырнадцать.","Мені чотирнадцять.",numbers
vierzig,-,number,сорок,сорок,"Meine Mutter ist vierzig.","Моей маме сорок.","Моїй мамі сорок.",numbers
vorlesen,-,verb,читать вслух,читати вголос,"Lies mir vor!","Почитай мне!","Почитай мені!",study
wahr,-,adjective,правдивый,правдивий,"Das ist wahr.","Это правда.","Це правда.",phrases
wirklich,-,adverb,действительно,справді,"Wirklich? Das ist toll!","Правда? Классно!","Справді? Класно!",phrases
witzig,-,adjective,смешной,смішний,"Das ist witzig!","Это смешно!","Це смішно!",phrases
zweite,-,adjective,второй,другий,"Das ist die zweite Straße.","Это вторая улица.","Це друга вулиця.",numbers
zwölf,-,number,двенадцать,дванадцять,"Es ist zwölf Uhr.","Сейчас двенадцать часов.","Зараз дванадцята година.",numbers
überall,-,adverb,везде,всюди,"Ich suche dich überall.","Я тебя везде ищу.","Я тебе всюди шукаю.",phrases
