word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
"Was darf's sein?",-,phrase,"Что желаете?","Що бажаєте?","Was darf's sein? – Ein Kilo Äpfel.","Что желаете? – Килограмм яблок.","Що бажаєте? – Кілограм яблук.",food
"Was kostet das?",-,phrase,"Сколько это стоит?","Скільки це коштує?","Was kostet das? – 5 Euro.","Сколько это стоит? – 5 евро.","Скільки це коштує? – 5 євро.",money
"Was machst du beruflich?",-,phrase,"Кем ты работаешь?","Ким ти працюєш?","Was machst du beruflich? – Ich bin Lehrer.","Кем ты работаешь? – Я учитель.","Ким ти працюєш? – Я вчитель.",study
Westen,der,noun,запад,захід,"Köln liegt im Westen.","Кёльн находится на западе.","Кельн знаходиться на заході.",city
"Wie alt bist du? – Ich bin",-,phrase,"Сколько тебе лет? – Мне","Скільки тобі років? – Мені","Wie alt bist du? – Ich bin 25.","Сколько тебе лет? – Мне 25.","Скільки тобі років? – Мені 25.",phrases
"Wie bitte?",-,phrase,"Простите?","Вибачте?","Wie bitte? Ich verstehe nicht.","Простите? Я не понимаю.","Вибачте? Я не розумію.",phrases
"Wie geht's Ihnen?",-,phrase,"Как у Вас дела?","Як у Вас справи?","Wie geht's Ihnen? – Gut, danke.","Как у Вас дела? – Хорошо, спасибо.","Як у Вас справи? – Добре, дякую.",phrases
"Wie geht's dir?",-,phrase,"Как у тебя дела?","Як у тебе справи?","Wie geht's dir? – Super!","Как у тебя дела? – Супер!","Як у тебе справи? – Супер!",phrases
"Wie heißen Sie?",-,phrase,"Как Вас зовут?","Як Вас звати?","Wie heißen Sie? – Ich heiße Anna.","Как Вас зовут? – Меня зовут Анна.","Як Вас звати? – Мене звати Анна.",phrases
"Wie heißt du?",-,phrase,"Как тебя зовут?","Як тебе звати?","Wie heißt du? – Ich heiße Max.","Как тебя зовут? – Меня зовут Макс.","Як тебе звати? – Мене звати Макс.",phrases
"Wie spät ist es?",-,phrase,"Который час?","Котра година?","Wie spät ist es? – Es ist 3 Uhr.","Который час? – Три часа.","Котра година? – Третя година.",time
"Wie viel ist das?",-,phrase,"Сколько это?","Скільки це?","Wie viel ist das? – 10 Euro.","Сколько это? – 10 евро.","Скільки це? – 10 євро.",money
Winter,der,noun,зима,зима,"Im Winter schneit es.","Зимой идёт снег.","Взимку йде сніг.",weather
"Woher kommen Sie?",-,phrase,"Откуда Вы?","Звідки Ви?","Woher kommen Sie? – Aus Deutschland.","Откуда Вы? – Из Германии.","Звідки Ви? – З Німеччини.",phrases
auf,-,preposition,"на","на","Das Buch liegt auf dem Tisch.","Книга лежит на столе.","Книга лежить на столі.",other
entschuldigen (sich),-,verb,извиняться,вибачатися,"Entschuldigen Sie bitte!","Извините, пожалуйста!","Вибачте, будь ласка!",phrases
fünfte,-,adjective,пятый,п'ятий,"Das ist das fünfte Haus.","Это пятый дом.","Це п'ятий дім.",numbers
ganz,-,adverb,"совсем, целый","зовсім, цілий","Das ist ganz gut.","Это совсем хорошо.","Це зовсім добре.",phrases
gar,-,adverb,"совсем, вовсе","зовсім","Das ist gar nicht schwer.","Это совсем не сложно.","Це зовсім не складно.",phrases
gemeinsam,-,adjective,общий,спільний,"Wir haben gemeinsame Freunde.","У нас общие друзья.","У нас спільні друзі.",phrases
gern,-,adverb,"охотно, с удовольствием","охоче, із задоволенням","Ich helfe dir gern.","Я охотно тебе помогу.","Я охоче тобі допоможу.",phrases
gesund,-,adjective,здоровый,здоровий,"Obst ist gesund.","Фрукты полезны.","Фрукти корисні.",health
gut,-,adjective,хороший,хороший,"Das ist ein gutes Buch.","Это хорошая книга.","Це хороша книга.",phrases
heute,-,adverb,сегодня,сьогодні,"Heute ist Montag.","Сегодня понедельник.","Сьогодні понеділок.",time
höflich,-,adjective,вежливый,ввічливий,"Er ist sehr höflich.","Он очень вежливый.","Він дуже ввічливий.",phrases
jung,-,adjective,молодой,молодий,"Sie ist noch jung.","Она ещё молодая.","Вона ще молода.",phrases
komisch,-,adjective,странный,дивний,"Das ist komisch.","Это странно.","Це дивно.",phrases
lang,-,adjective,длинный,довгий,"Das ist ein langer Weg.","Это длинный путь.","Це довгий шлях.",phrases
macht,-,verb,делает,"робить, коштує","Das macht 5 Euro.","Это будет 5 евро.","Це буде 5 євро.",money
nicht,-,adverb,не,не,"Ich verstehe nicht.","Я не понимаю.","Я не розумію.",phrases
noch,-,adverb,ещё,ще,"Hast du noch Zeit?","У тебя ещё есть время?","У тебе ще є час?",time
rechts,-,adverb,справа,праворуч,"Das Haus ist rechts.","Дом справа.","Будинок праворуч.",city
schlecht,-,adjective,плохой,поганий,"Das Wetter ist schlecht.","Погода плохая.","Погода погана.",weather
sportlich,-,adjective,спортивный,спортивний,"Er ist sehr sportlich.","Он очень спортивный.","Він дуже спортивний.",sport
"vor (neun)",-,preposition,"до (девяти)","до (дев'ятої)","Es ist fünf vor neun.","Без пяти девять.","За п'ять хвилин дев'ята.",time
